index,country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
851,India,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB",03-03-2026 15:00:00,12.938539,77.5901,CO,6.0,56.0,13.0
852,India,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB",03-03-2026 15:00:00,12.938539,77.5901,OZONE,24.0,125.0,105.0
853,India,Karnataka,Bengaluru,"Jigani, Bengaluru - KSPCB",03-03-2026 15:00:00,12.7816279,77.6299145,CO,42.0,48.0,43.0
854,India,Karnataka,Bengaluru,"Jigani, Bengaluru - KSPCB",03-03-2026 15:00:00,12.7816279,77.6299145,OZONE,19.0,23.0,22.0
855,India,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",03-03-2026 15:00:00,13.0270199,77.494094,NH3,3.0,6.0,4.0
856,India,Karnataka,Bengaluru,"RVCE-Mailasandra, Bengaluru - KSPCB",03-03-2026 15:00:00,12.921418,77.502466,PM2.5,10.0,481.0,221.0
857,India,Karnataka,Bengaluru,"RVCE-Mailasandra, Bengaluru - KSPCB",03-03-2026 15:00:00,12.921418,77.502466,NO2,24.0,31.0,31.0
858,India,Karnataka,Bengaluru,"RVCE-Mailasandra, Bengaluru - KSPCB",03-03-2026 15:00:00,12.921418,77.502466,CO,4.0,42.0,26.0
859,India,Karnataka,Bengaluru,"RVCE-Mailasandra, Bengaluru - KSPCB",03-03-2026 15:00:00,12.921418,77.502466,OZONE,23.0,24.0,23.0
860,India,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB",03-03-2026 15:00:00,12.9135218,77.5950804,CO,40.0,46.0,43.0
861,India,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB",03-03-2026 15:00:00,12.9135218,77.5950804,OZONE,27.0,28.0,28.0
862,India,Karnataka,Bengaluru,"Bapuji Nagar, Bengaluru - KSPCB",03-03-2026 15:00:00,12.951913,77.539784,NO2,11.0,13.0,12.0
863,India,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",03-03-2026 15:00:00,13.029152,77.585901,NH3,1.0,1.0,1.0
864,India,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",03-03-2026 15:00:00,13.029152,77.585901,CO,23.0,60.0,39.0
865,India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB",03-03-2026 15:00:00,12.917348,77.622813,PM2.5,91.0,211.0,154.0
866,India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB",03-03-2026 15:00:00,12.917348,77.622813,SO2,4.0,24.0,10.0
867,India,Karnataka,Chamarajanagar,"Urban, Chamarajanagar - KSPCB",03-03-2026 15:00:00,11.55358,76.55521,SO2,3.0,8.0,4.0
868,India,Karnataka,Chikkamagaluru,"Kalyana Nagara, Chikkamagaluru - KSPCB",03-03-2026 15:00:00,13.328028,75.797056,NO2,14.0,26.0,24.0
869,India,Karnataka,Hubballi,"Lingaraj Nagar, Hubballi - KSPCB",03-03-2026 15:00:00,15.3714823,75.1160168,NH3,1.0,2.0,2.0
870,India,Karnataka,Hubballi,"Lingaraj Nagar, Hubballi - KSPCB",03-03-2026 15:00:00,15.3714823,75.1160168,SO2,2.0,3.0,2.0
871,India,Karnataka,Kalaburagi,"Mahatma Basaveswar Colony, Kalaburgi - KSPCB",03-03-2026 15:00:00,17.336318,76.847397,PM2.5,39.0,62.0,51.0
872,India,Karnataka,Kalaburagi,"Mahatma Basaveswar Colony, Kalaburgi - KSPCB",03-03-2026 15:00:00,17.336318,76.847397,NO2,14.0,19.0,16.0
873,India,Karnataka,Kalaburagi,"Mahatma Basaveswar Colony, Kalaburgi - KSPCB",03-03-2026 15:00:00,17.336318,76.847397,NH3,3.0,3.0,3.0
